Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
01 - C3672 - 3606-Sikkil_Mala_Cha,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sikkil Mala Chandrasekhar,http://sangeethamshare.org/tvg/UPLOADS-3601---3800/3606-Sikkil_Mala_Chandrasekhar-Flute-NP/
01 - C3837 - 3772-Vijayalakshmy_S,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Vijayalakshmy Subramaniam,http://sangeethamshare.org/tvg/UPLOADS-3601---3800/3772-Vijayalakshmy_Subramaniam/
01 - C3874 - 3810-K_Bhaskaran-Flu,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,K Bhaskaran,http://sangeethamshare.org/tvg/UPLOADS-3801---4000/3810-K_Bhaskaran-Flute/
01 - C3926 - 3864-JB_Sruthisagar-,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,JB Sruthisagar,http://sangeethamshare.org/tvg/UPLOADS-3801---4000/3864-JB_Sruthisagar-Flute/
01 - C3985 - 3925-P_Ganesh-Chithr,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,P Ganesh,http://sangeethamshare.org/tvg/UPLOADS-3801---4000/3925-P_Ganesh-Chithraveena/
01 - C4799 - 4714-Neyyattinkara_V,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Neyyattinkara Vasudevan,http://sangeethamshare.org/tvg/UPLOADS-4601---4800/4714-Neyyattinkara_Vasudevan-Ragam_24x7/
01 - C4852 - 4767-Sundarapalli_Su,2,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sundarapalli Suryanarayana Murthy,http://sangeethamshare.org/tvg/UPLOADS-4601---4800/4767-Sundarapalli_Suryanarayana_Murthy-Clarinet/
01 - C4863 - 4778-Bhushany_Kalyan,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Bhushany Kalyanaraman,http://sangeethamshare.org/tvg/UPLOADS-4601---4800/4778-Bhushany_Kalyanaraman/
01 - C5136 - 5074-Pappu_Someswara,2,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Pappu Someswara Rao,http://sangeethamshare.org/tvg/UPLOADS-5001---5200/5074-Pappu_Someswara_Rao-Veena-Ragam_24x7
01 - C5154 - 5092-Mathangi_Sathya,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Mathangi Sathyamoorthy,http://sangeethamshare.org/tvg/UPLOADS-5001---5200/5092-Mathangi_Sathyaoorthy-Chembai_2016
01 - C5258 - 5160-G_Madhavan,1,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,G Madhavan,http://sangeethamshare.org/tvg/UPLOADS-5001---5200/5160-G_Madhavan
01 - C5449 - 5359-Sikkil_Mala_Cha,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sikkil Mala Chandrasekhar,http://sangeethamshare.org/tvg/UPLOADS-5201---5400/5359-Sikkil_Mala_Chandrasekhar-Flute
01 - C5562 - 5475-Vettikavala_KN_,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Vettikavala KN Sasikumar,http://sangeethamshare.org/tvg/UPLOADS-5401---5600/5475-Vettikavala_KN_Sasikumar-Nadaswaram-AIR_NP/
01 - C5638 - 5553-Kadri_Gopalnath,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Kadri Gopalnath,http://sangeethamshare.org/tvg/UPLOADS-5401---5600/5553-Kadri_Gopalnath-Chembai_2017_TV_Audio/
01 - C5946 - 5831-K_Sathyanarayan,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,K Sathyanarayanan,http://sangeethamshare.org/tvg/UPLOADS-5801---6000/5831-K_Sathyanarayanan-Keyboard/
01 - C6198 - 6044-Pudukottai_R_Kr,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Pudukkottai R Krishnamurthy,http://sangeethamshare.org/tvg/UPLOADS-6001---6200/6044-Pudukottai_R_Krishnamurthy-Veena_Vadhyagoshti/
01 - C6334 - 6183-Vittal_Ramamurt,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Vittal Ramamurthy,http://sangeethamshare.org/tvg/UPLOADS-6001---6200/6183-Vittal_Ramamurthy-Violin_Solo/
01 - C6391 - 6241-Prapancham_Mukh,2,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Prapancham Mukhyaprana,http://sangeethamshare.org/tvg/UPLOADS-6201---6400/6241-Prapancham_Mukhyaprana-Flute/
01 - C6450 - 6300-S_Rajeswari,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,S Rajeswari,http://sangeethamshare.org/tvg/UPLOADS-6201---6400/6300-S_Rajeswari/
01 - C6476 - 6328-Sikkil_Mala_Cha,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sikkil Mala Chandrasekhar,http://sangeethamshare.org/tvg/UPLOADS-6201---6400/6328-Sikkil_Mala_Chandrasekhar-Flute/
01 - C6645 - 6456-Raji_Gopalakris,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Raji Gopalakrishnan,http://sangeethamshare.org/tvg/UPLOADS-6401---6600/6456-Raji_Gopalakrishnan/
01 - C6670 - 6484-K_Krishnakumar-,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,K Krishnakumar,https://sangeethamshare.org/tvg/UPLOADS-6401---6600/6484-K_Krishnakumar-AIR_TVM/
02 - C0019 - 007_E_Gayathri,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,E Gayathri,http://sangeethamshare.org/kasturi/UPLOADS-0001-0200/007_E_Gayathri/
02 - C0116 - 124_Vinay_Sharva_Yas,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Vinay Sharva,http://sangeethamshare.org/kasturi/UPLOADS-0001-0200/124_Vinay_Sharva_Yashaswi_BCManjunath_Chandramouli_MSR_Ramanavami
02 - C0148 - 156_MLVasanthaKumari,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/kasturi/UPLOADS-0001-0200/156_MLVasanthaKumari_AK
02 - C0217 - 229_DKPattammal-NEWY,9,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/229_DKPattammal-NEWYORK-ABHERI-JAGANMOHINI
02 - C0225 - 237_NRamani_RKS_NN_P,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,N Ramani,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/237_NRamani_RKS_NN_Prapancham_Sethuram_NGS_26.12.09
02 - C0304 - 318_ParassalaPonnamm,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Parassala Ponnammal,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/318_ParassalaPonnammal-FortHighSchool
02 - C0309 - 323_ParassalaPonnama,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Parassala Ponnammal,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/323_ParassalaPonnamaal-Nanganallur
02 - C0347 - 361_Voleti_Venkatesh,1,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Voleti Venkateswarulu,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/361_Voleti_Venkateshwarulu
02 - C0354 - 368_Voleti_Venkatesh,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Voleti Venkateswarulu,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/368_Voleti_Venkateshwarulu_shaNkarAbharaNa
02 - c0391 - 405_TrichyPradeepKum,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,V Pradeep Kumar,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/405_TrichyPradeepKumar_BKR_BCM_UNNATI_SGBS_01May2011
02 - C0391 - 405_TrichyPradeepKum,11,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,V Pradeep Kumar,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/405_TrichyPradeepKumar_BKR_BCM_UNNATI_SGBS_01May2011
02 - c0397 - 411_NRajkamal_CR_MTR,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,N Rajkamal,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/411_NRajkamal_CR_MTR_GP_12Feb2011
02 - C0397 - 411_NRajkamal_CR_MTR,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,N Rajkamal,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/411_NRajkamal_CR_MTR_GP_12Feb2011
02 - C0567 - 583_TrichyPradeepKum,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,V Pradeep Kumar,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/583_TrichyPradeepKumar_bEgaDa_abhEri
02 - C0567 - 583_TrichyPradeepKum,11,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,V Pradeep Kumar,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/583_TrichyPradeepKumar_bEgaDa_abhEri
03 - C0057 - 179-bengaLUru_S_shan,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Bangalore S Shankar,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/179-bengaLUru_S_shankar-Vocal-bengaLUru-2009
03 - C0069 - 167-TrichUr_V_rAmach,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Trichur V Ramachandran,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/167-TrichUr_V_rAmachandhran-Vocal-TVR-somewhere_in_USA/
03 - C0119 - 117-DK_pattammAL-Voc,9,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/117-DK_pattammAL-Vocal-DKP_DKJ-NewYork-1977/
03 - c0191 - 042-MahArAjapuram_Sa,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Maharajapuram Santhanam,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/042-MahArAjapuram_SanthAnam-RSM-BengaLUru-1980/
03 - C0394 - 253-Priya_Sisters-Vo,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Priya Sisters,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/253-Priya_Sisters-Vocal_duet-SRSM_BengaLUru-2005/
03 - C0555 - 311-U_shrInivAs-mand,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,U Shrinivas,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/311-U_shrInivAs-mandolin-Houston_TX-USA-1984/
03 - C0975 - 621-DK_jayarAman-voc,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/621-DK_jayarAman-vocal-Bombay/
03 - C1081 - 727-viTTal_rAmamUrth,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Vittal Ramamurthy,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/727-viTTal_rAmamUrthy-VVS_murAri-violin_viola_duet-Augusta-2018/
06 - c0147 - 0187-Sri-S.Sundar-Ve,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,S Sundar,http://sangeethamshare.org/svasu/UPLOADS-0001-0200/0187-Sri-S.Sundar-Veena
06 - c0413 - 0477-Ms.RanjaniHebba,1,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Ranjani Guruprasad,http://sangeethamshare.org/svasu/UPLOADS-0401-0600/0477-Ms.RanjaniHebbar-IsaiVizha2008
09 - C0056 - DKP--008--Madurai-19,9,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/ksj/D-K-Pattammal/DKP--008--Madurai-1982-
09 - C0058 - DKP--018--KGS-1975-,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/ksj/D-K-Pattammal/DKP--018--KGS-1975-
09 - C0060 - DKP--020--TR-PMI-,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/ksj/D-K-Pattammal/DKP--020--TR-PMI-
10 - C0033 - 029-RKSrikanthan-NPM,2,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,RK Srikantan,http://sangeethamshare.org/vijayagopal/UPLOADS-001-200/029-RKSrikanthan-NPM/
10 - C0098 - 094-DKJayaraman-Vidu,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/vijayagopal/UPLOADS-001-200/094-DKJayaraman-Vidulaku/
10 - C0318 - 315-Ariyakkudi_Raman,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Ariyakudi Ramanuja Iyengar,http://sangeethamshare.org/vijayagopal/UPLOADS-201-400/315-Ariyakkudi_Ramanuja_Iyengar-Vocal-Radio/
10 - C0329 - 326-Seetha_Narayanan,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Seetha Narayanan,http://sangeethamshare.org/vijayagopal/UPLOADS-201-400/326-Seetha_Narayanan-Vocal/
10 - C0493 - 503-Latha_Ramchand-V,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Latha Ramchand,http://sangeethamshare.org/vijayagopal/UPLOADS-401-600/503-Latha_Ramchand-Vocal-80s/
14 - C0043 - 044_2010_Sep06_Warre,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,K Sathyanarayanan,http://sangeethamshare.org/sathya/044_2010_Sep06_WarrenRoad-PillaiyarTempleConcert/
15 - C0111 - 107-Neyattinkara_Vas,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Neyyattinkara Vasudevan,http://sangeethamshare.org/muralidaran/Uploads-101-200/107-Neyattinkara_Vasudevan-LiveConcert-1983/
15 - C0113 - 109-M.L.Vasantha_Kum,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/muralidaran/Uploads-101-200/109-M.L.Vasantha_Kumari-Live_Concert-12-1989-Bangalore/
15 - C0127 - 123-M.L.Vasanthakuma,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/muralidaran/Uploads-101-200/123-M.L.Vasanthakumari-AK-Easwaran-Live_Concert-15/
15 - C0212 - 207-Neyyatinkara_Vas,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Neyyattinkara Vasudevan,http://sangeethamshare.org/muralidaran/Uploads-201-300/207-Neyyatinkara_Vasudevan-Live_Concert-4/
15 - C0214 - 209-D.K.Jayaraman-Li,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/muralidaran/Uploads-201-300/209-D.K.Jayaraman-Live_Concert-16/
15 - C0233 - 228-Sudha_Ragunathan,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sudha Raghunathan,http://sangeethamshare.org/muralidaran/Uploads-201-300/228-Sudha_Ragunathan-Live_Concert-4/
15 - C0238 - 233-D.K.Jayaraman-Li,9,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/muralidaran/Uploads-201-300/233-D.K.Jayaraman-Live_Concert-19/
15 - C0256 - 252-D.K.Jayaraman-Li,9,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/muralidaran/Uploads-201-300/252-D.K.Jayaraman-Live_Concert-21/
15 - C0290 - 286-D.K.Jayaraman-Li,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/muralidaran/Uploads-201-300/286-D.K.Jayaraman-Live_Concert-23/
15 - C0292 - 288-M.L.Vasanthakuma,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://www.sangeethamshare.org/muralidaran/Uploads-201-300/288-M.L.Vasanthakumari-Live_Concert-32/
15 - C0407 - 403-R.K.Srikantan-Li,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,RK Srikantan,https://sangeethamshare.org/muralidaran/Uploads-401-500/403-R.K.Srikantan-Live_Concert-1/
17 - C0056 - 057-U_Srinivas-Tamil,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,U Shrinivas,http://sangeethamshare.org/ramasamy_v/057-U_Srinivas-Tamil-Isai-Sangham-Concert/
17 - C0108 - 115-Sathur_Sisters-R,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sathur Sisters,http://sangeethamshare.org/ramasamy_v/115-Sathur_Sisters-Ramanavami_Concert/
18 - C0027 - USA-1986,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/mpmohan/Smt.M.L.Vasanthakumari/USA-1986
19 - C0003 - 003_2008_04_19_Mysor,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,"Mysore M Nagaraj,M Manjunath",http://sangeethamshare.org/sv/003_2008_04_19_Mysore_Nagaraj_Manjunath_RSM_FHS
19 - C0071 - 073_2009_11_07_D_Bal,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,D Balakrishna,http://sangeethamshare.org/sv/073_2009_11_07_D_Balakrishna_Suswaralaya
19 - C0125 - 126_TVRamachandran_C,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Trichur V Ramachandran,http://sangeethamshare.org/sv/126_TVRamachandran_CNC_Vellore_Ramabhadran_Chandramouli_BGS_05.04.09
23 - C0127 - 136-Oleti-Venkateshw,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Voleti Venkateswarulu,http://sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/136-Oleti-Venkateshwarulu-AR-PRR-Shankarabharana
23 - C0194 - 207_MLVasanthakumari,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/207_MLVasanthakumari-thODi-RTP/
23 - C0199 - 213_MysoreDoreswamyI,11,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Mysore V Doraiswamy Iyengar,http://sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/213_MysoreDoreswamyIyengar-Veena-Bhajare/
23 - C0235 - 250_MLVasanthakumari,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,ML Vasanthakumari,http://sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/250_MLVasanthakumari-NadaBramha-1989/
28 - C0005 - 0005.Sikki_C_Gurucha,3,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sikkil Gurucharan,http://sangeethamshare.org/rbs/0005.Sikki_C_Gurucharan-_IsaiVizha2009
33 - C0001 - 01-DK-Pattamal-CFA,8,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Pattammal,http://sangeethamshare.org/dvprasad/01-DK-Pattamal-CFA
33 - C0009 - 09-DKJ-CFA-1984,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/dvprasad/09-DKJ-CFA-1984
33 - C0010 - 10-Lalgudi-CFA-1986,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Lalgudi Jayaraman,http://sangeethamshare.org/dvprasad/10-Lalgudi-CFA-1986/
33 - C0012 - 12-Neyyattinkara,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Neyyattinkara Vasudevan,http://sangeethamshare.org/dvprasad/12-Neyyattinkara/
33 - C0013 - 13-SikkilSisters-198,6,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sikkil Sisters,http://sangeethamshare.org/dvprasad/13-SikkilSisters-1984/
51 - C0003 - 003_DK_Jayaraman,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,DK Jayaraman,http://sangeethamshare.org/nattu/001-200/003_DK_Jayaraman
52 - C0007 - 009-Charumathi_Ramac,10,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Charumathi Ramachandran,http://sangeethamshare.org/balaji/UPLOADS-001-200/009-Charumathi_Ramachandran-Vocal/
57 - C0309 - 309-Sandeep_Narayan-,5,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sandeep Narayanan,http://sangeethamshare.org/sreekanth/309-Sandeep_Narayan-Live_Concert2/
57 - C0343 - 343-TR_Subrmanyam-Li,12,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,TR Subramaniam,http://sangeethamshare.org/sreekanth/343-TR_Subrmanyam-Live_Concert4/
57 - C0522 - 522-Sanjay_Subrahman,7,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,Sanjay Subrahmanyan,https://sangeethamshare.org/sreekanth/522-Sanjay_Subrahmanyan-Live_Concert69/
57 - C0523 - 523-R_K_Padmanabha-L,4,bhajarE_rE_mAnasa_shrI,AbhEri,mysore_vAsudevAcAr,RK Padmanabha,https://sangeethamshare.org/sreekanth/523-R_K_Padmanabha-Live_Concert2/
01 - c0227 - 1343-R_S_Ramakanth-F,2,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,RS Ramakanth,http://sangeethamshare.org/tvg/UPLOADS-1201---1400/1343-R_S_Ramakanth-FM_Amirthavarshini
01 - C1538 - 1674-MB-Chamundamba_,8,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,AS Murali,http://sangeethamshare.org/tvg/UPLOADS-1601---1800/1674-MB-Chamundamba_Ashtothra_Krithis-Part-06/
01 - C3893 - 3829-Charumathi_Rama,2,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,Charumathi Ramachandran,http://sangeethamshare.org/tvg/UPLOADS-3801---4000/3829-Charumathi_Ramachandran-TV_Audio/
02 - C0471 - 486_RK_Srikantan_RSR,16,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,RK Srikantan,http://sangeethamshare.org/kasturi/UPLOADS-0401-0600/486_RK_Srikantan_RSRamakanth-mandAri_Arabhi_kAmavardhini
03 - C0933 - 579-RK_shrIkanTan-vo,11,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,RK Srikantan,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/579-RK_shrIkanTan-vocal-Cleveland-2012/
06 - c0639 - 0737_Ms.Meenakshi-An,3,eeshwari_rAjEshwari,AbhEri,muthaiah_bAgavatar,Meenakshi  Ananthakrishnan,http://sangeethamshare.org/svasu/UPLOADS-0601-0800/0737_Ms.Meenakshi-Ananthakrishnan
